Date,Open,High,Low,Close,Volume
01/17/2025,"434.09","434.48","428.17","429.03","26,197,510"
01/16/2025,"428.70","429.49","424.39","424.58","15,300,020"
01/15/2025,"419.13","428.15","418.27","426.31","19,637,840"
01/14/2025,"417.81","419.74","410.72","415.67","16,935,859"
01/13/2025,"415.24","418.50","412.29","417.19","17,604,779"
01/10/2025,"424.63","424.71","415.02","418.95","20,201,131"
01/08/2025,"423.46","426.97","421.54","424.56","15,054,580"
01/07/2025,"429.00","430.65","420.80","422.37","18,139,070"
01/06/2025,"428.00","434.32","425.48","427.85","20,573,650"
01/03/2025,"421.08","424.03","419.54","423.35","16,662,939"
01/02/2025,"425.53","426.07","414.85","418.58","16,896,471"
12/31/2024,"426.10","426.73","420.66","421.50","13,246,510"
12/30/2024,"426.06","427.55","421.90","424.83","13,158,700"
12/27/2024,"434.60","435.22","426.35","430.53","18,117,711"
12/26/2024,"439.08","440.94","436.63","438.11","8,199,927"
12/24/2024,"434.65","439.60","434.19","439.33","7,164,543"
12/23/2024,"436.74","437.65","432.83","435.25","19,152,520"
